,Unnamed: 0,review,rating,date,bank,source,distilbert_sentiment,distilbert_label,distilbert_score,vader_sentiment,textblob_sentiment,distilbert_numerical
12,12,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9616847634315491}",NEGATIVE,0.9616847634315491,neutral,neutral,-1
13,13,best,5,2025-06-04,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997941851615906}",POSITIVE,0.9997941851615906,positive,positive,1
14,14,bezabih,5,2025-06-04,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9654072523117065}",POSITIVE,0.9654072523117065,neutral,neutral,1
15,15,Best Mobile Banking app ever,5,2025-06-04,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997294545173645}",POSITIVE,0.9997294545173645,positive,positive,1
16,16,good,5,2025-06-04,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998161196708679}",POSITIVE,0.9998161196708679,positive,positive,1
17,17,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9981192946434021}",NEGATIVE,0.9981192946434021,positive,positive,-1
18,18,good,5,2025-06-04,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998161196708679}",POSITIVE,0.9998161196708679,positive,positive,1
19,19,Good,5,2025-06-04,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998161196708679}",POSITIVE,0.9998161196708679,positive,positive,1
20,20,👌👍,5,2025-06-04,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.6970565915107727}",NEGATIVE,0.6970565915107727,positive,neutral,-1
21,21,very niec,5,2025-06-04,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.5192620754241943}",POSITIVE,0.5192620754241943,neutral,positive,1
22,22,best app of finance,5,2025-06-04,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9996503591537476}",POSITIVE,0.9996503591537476,positive,positive,1
23,23,yetemeta,1,2025-06-03,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.6553664803504944}",POSITIVE,0.6553664803504944,neutral,neutral,1
24,24,Engida Kebede Fetera,5,2025-06-03,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.8396738767623901}",NEGATIVE,0.8396738767623901,neutral,neutral,-1
25,25,good,5,2025-06-03,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998161196708679}",POSITIVE,0.9998161196708679,positive,positive,1
26,26,it is not safety,1,2025-06-03,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9997867941856384}",NEGATIVE,0.9997867941856384,negative,neutral,-1
27,27,NICE bank,5,2025-06-03,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998055100440979}",POSITIVE,0.9998055100440979,positive,positive,1
28,28,it is like a childish app make it better the worst I have ever seen,1,2025-06-02,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9997958540916443}",NEGATIVE,0.9997958540916443,negative,negative,-1
29,29,"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997678399085999}",POSITIVE,0.9997678399085999,positive,positive,1
30,30,It's good but try to make it facilitate for your client,4,2025-06-02,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9491767883300781}",POSITIVE,0.9491767883300781,positive,positive,1
31,31,best app,5,2025-06-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.999686598777771}",POSITIVE,0.999686598777771,positive,positive,1
32,32,Awesome bank,5,2025-06-01,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998461008071899}",POSITIVE,0.9998461008071899,positive,positive,1
33,33,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9983141422271729}",NEGATIVE,0.9983141422271729,positive,positive,-1
34,34,Masha alla,5,2025-05-31,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9514626860618591}",NEGATIVE,0.9514626860618591,neutral,neutral,-1
35,35,"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9991102814674377}",NEGATIVE,0.9991102814674377,negative,negative,-1
36,36,better service,5,2025-05-31,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9982219338417053}",POSITIVE,0.9982219338417053,positive,positive,1
37,37,"it,s good app and time manager 👍",5,2025-05-30,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998370409011841}",POSITIVE,0.9998370409011841,positive,positive,1
38,38,malkaamuu Jiidhaa Namoo,5,2025-05-30,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9887813329696655}",NEGATIVE,0.9887813329696655,neutral,neutral,-1
39,39,lower system everything,3,2025-05-30,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9993475079536438}",NEGATIVE,0.9993475079536438,negative,neutral,-1
40,40,Nice!,5,2025-05-30,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.999863862991333}",POSITIVE,0.999863862991333,positive,positive,1
41,41,Keep it up My CBE,5,2025-05-29,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9996104836463928}",POSITIVE,0.9996104836463928,neutral,neutral,1
42,42,yes good,5,2025-05-28,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998410940170288}",POSITIVE,0.9998410940170288,positive,positive,1
43,43,"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9996353387832642}",NEGATIVE,0.9996353387832642,negative,neutral,-1
44,44,i like everything of this app,5,2025-05-27,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9996908903121948}",POSITIVE,0.9996908903121948,positive,neutral,1
45,45,good,5,2025-05-27,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998161196708679}",POSITIVE,0.9998161196708679,positive,positive,1
46,46,🤬🤬🤬🤬 network 🛜,1,2025-05-26,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.685613214969635}",NEGATIVE,0.685613214969635,neutral,neutral,-1
47,47,Best,5,2025-05-26,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997941851615906}",POSITIVE,0.9997941851615906,positive,positive,1
48,48,CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9982792139053345}",POSITIVE,0.9982792139053345,positive,positive,1
49,49,nice,5,2025-05-26,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998552799224854}",POSITIVE,0.9998552799224854,positive,positive,1
50,50,good job,5,2025-05-26,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.999835729598999}",POSITIVE,0.999835729598999,positive,positive,1
51,51,Good,5,2025-05-25,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998161196708679}",POSITIVE,0.9998161196708679,positive,positive,1
52,52,it's awesome!!,5,2025-05-25,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.999871015548706}",POSITIVE,0.999871015548706,positive,positive,1
53,53,best,5,2025-05-25,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997941851615906}",POSITIVE,0.9997941851615906,positive,positive,1
54,54,thankyou every one,5,2025-05-25,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998461008071899}",POSITIVE,0.9998461008071899,neutral,neutral,1
55,55,best app,5,2025-05-25,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.999686598777771}",POSITIVE,0.999686598777771,positive,positive,1
56,56,Ronaldo 🇵🇹 🥇,5,2025-05-25,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9948286414146423}",POSITIVE,0.9948286414146423,positive,neutral,1
57,57,"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998852014541626}",POSITIVE,0.9998852014541626,positive,positive,1
58,58,"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9997394680976868}",NEGATIVE,0.9997394680976868,negative,negative,-1
59,59,mortuary app,5,2025-05-25,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.7924914956092834}",NEGATIVE,0.7924914956092834,neutral,neutral,-1
60,60,it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9961044788360596}",NEGATIVE,0.9961044788360596,positive,positive,-1
61,61,amazing app I am used this app for one year,4,2025-05-24,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9991408586502075}",POSITIVE,0.9991408586502075,positive,positive,1
62,62,👍,5,2025-05-24,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.6970565915107727}",NEGATIVE,0.6970565915107727,neutral,neutral,-1
63,63,good app,5,2025-05-24,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998493194580078}",POSITIVE,0.9998493194580078,positive,positive,1
64,64,i love it 😍😘,5,2025-05-24,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998791217803955}",POSITIVE,0.9998791217803955,positive,positive,1
65,65,It makes life easy!👌,5,2025-05-24,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9993600249290466}",POSITIVE,0.9993600249290466,positive,neutral,1
66,66,its not fast,1,2025-05-24,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9949808716773987}",NEGATIVE,0.9949808716773987,neutral,negative,-1
67,67,wow,4,2025-05-24,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.999592125415802}",POSITIVE,0.999592125415802,positive,positive,1
68,68,it is sooo good,5,2025-05-24,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998735189437866}",POSITIVE,0.9998735189437866,positive,positive,1
69,69,excellent,5,2025-05-24,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998434782028198}",POSITIVE,0.9998434782028198,positive,positive,1
70,70,ok,1,2025-05-24,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997851252555847}",POSITIVE,0.9997851252555847,positive,positive,1
71,71,Fantastic,5,2025-05-23,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998743534088135}",POSITIVE,0.9998743534088135,positive,positive,1
72,72,accessible to using,5,2025-05-23,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.999116837978363}",POSITIVE,0.999116837978363,neutral,positive,1
73,73,I like it,4,2025-05-23,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998593330383301}",POSITIVE,0.9998593330383301,positive,neutral,1
74,74,good,5,2025-05-23,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998161196708679}",POSITIVE,0.9998161196708679,positive,positive,1
75,75,why you change default network?,5,2025-05-23,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9962357878684998}",NEGATIVE,0.9962357878684998,neutral,neutral,-1
76,76,very nice 👍,5,2025-05-23,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998577833175659}",POSITIVE,0.9998577833175659,positive,positive,1
77,77,good,5,2025-05-23,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998161196708679}",POSITIVE,0.9998161196708679,positive,positive,1
78,78,nice fast app,5,2025-05-23,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.999833345413208}",POSITIVE,0.999833345413208,positive,positive,1
79,79,good,5,2025-05-23,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998161196708679}",POSITIVE,0.9998161196708679,positive,positive,1
80,80,best,5,2025-05-23,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997941851615906}",POSITIVE,0.9997941851615906,positive,positive,1
81,81,how to I get my money,5,2025-05-23,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9934091567993164}",NEGATIVE,0.9934091567993164,neutral,neutral,-1
82,82,"Very bad, can't even load they need to improve their services.",1,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9998165965080261}",NEGATIVE,0.9998165965080261,negative,negative,-1
83,83,"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9649853706359863}",POSITIVE,0.9649853706359863,positive,positive,1
84,84,very busy I don't know why... I prefer 889,3,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9991938471794128}",NEGATIVE,0.9991938471794128,neutral,positive,-1
85,85,"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9966771602630615}",NEGATIVE,0.9966771602630615,neutral,negative,-1
86,86,the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9986202716827393}",NEGATIVE,0.9986202716827393,negative,negative,-1
87,87,hojii bonsaadha,5,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9568661451339722}",POSITIVE,0.9568661451339722,neutral,neutral,1
88,88,ok,5,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997851252555847}",POSITIVE,0.9997851252555847,positive,positive,1
89,89,ok,5,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997851252555847}",POSITIVE,0.9997851252555847,positive,positive,1
90,90,user-friendly apps.because this app is easy.,5,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.955450713634491}",POSITIVE,0.955450713634491,positive,positive,1
91,91,Awosome!!!,5,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.6944916844367981}",POSITIVE,0.6944916844367981,neutral,neutral,1
92,92,"Very good app,",5,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998691082000732}",POSITIVE,0.9998691082000732,positive,positive,1
93,93,sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.992516815662384}",NEGATIVE,0.992516815662384,positive,neutral,-1
94,94,ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997020363807678}",POSITIVE,0.9997020363807678,positive,positive,1
95,95,I hate this app 😒,1,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9996378421783447}",NEGATIVE,0.9996378421783447,negative,negative,-1
96,96,trustful,5,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998213648796082}",POSITIVE,0.9998213648796082,positive,neutral,1
97,97,I like,5,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998149275779724}",POSITIVE,0.9998149275779724,positive,neutral,1
98,98,update issue,4,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.5473260283470154}",POSITIVE,0.5473260283470154,neutral,neutral,1
99,99,its not working over safari network,1,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9991377592086792}",NEGATIVE,0.9991377592086792,neutral,neutral,-1
100,100,oldie,1,2025-05-22,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.6663177013397217}",NEGATIVE,0.6663177013397217,neutral,neutral,-1
101,101,it doesn't work,1,2025-05-21,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.9997813105583191}",NEGATIVE,0.9997813105583191,neutral,neutral,-1
102,102,best,5,2025-05-21,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997941851615906}",POSITIVE,0.9997941851615906,positive,positive,1
103,103,"This app is good, and we are using it well",1,2025-05-21,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.999855637550354}",POSITIVE,0.999855637550354,positive,positive,1
104,104,ok,5,2025-05-21,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997851252555847}",POSITIVE,0.9997851252555847,positive,positive,1
105,105,best app,5,2025-05-21,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.999686598777771}",POSITIVE,0.999686598777771,positive,positive,1
106,106,best,5,2025-05-21,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997941851615906}",POSITIVE,0.9997941851615906,positive,positive,1
107,107,very nice 👌 app for android phone,5,2025-05-21,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9994401335716248}",POSITIVE,0.9994401335716248,positive,positive,1
108,108,good app,5,2025-05-21,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998493194580078}",POSITIVE,0.9998493194580078,positive,positive,1
109,109,Yes Yes,5,2025-05-21,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9997482895851135}",POSITIVE,0.9997482895851135,positive,neutral,1
110,110,በጣም ከርፋፋ,1,2025-05-21,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'NEGATIVE', 'score_distilbert': 0.7850590348243713}",NEGATIVE,0.7850590348243713,neutral,neutral,-1
111,111,easy to use helpful in my life,5,2025-05-21,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9981144666671753}",POSITIVE,0.9981144666671753,positive,positive,1
112,112,good 👍,4,2025-05-21,Commercial Bank of Ethiopia (CBE),Google Play Store,"{'sentiment_distilbert': 'POSITIVE', 'score_distilbert': 0.9998576641082764}",POSITIVE,0.9998576641082764,positive,positive,1
